Unnamed: 0,Review_Date,Author,Rating,Review_Title,Review
16,7-Nov-20,Kdosda_Hegen,1," You have to try your hardest to be able to make a garbage like this.
","This movie was pathetic. Tons of dirty kindergarden level jokes. Just disgusting. Borat 1 was very funny, it used dark perverted jokes time to time to boost the feel of awkwardness and it felt very natural. Here it feels so forced and fake as if they tried to make it the cringest and most awkward movie ever. I'll admit laughed a bit twice or trice, but as a whole experience it was a torture to watch, I'm even embarrassed to admit I've made it though the whole film."
17,23-Oct-20,rphanley,5," I'm a huge fan but this wasn't funny.
",I really was excited for this movie but it didn't deliver at all. It felt extremely rushed and the comedy wasn't there. I laughed once during the entire movie. It's obvious they had a deadline and pushed this out to meet it. This was a huge bummer. I wanted Borat not this.
18,14-Nov-20,Q-Man,6," Some very funny moments, but mostly not
","I would have to say that, overall, Subsequent Moviefilm was a bit disappointing. It had some very funny moments, but most of the time it was not all that funny. I had trouble believing that the people being filmed weren't aware of what was happening. Why would these people allow cameras into their businesses? Would two Q-anon followers actually invite a stranger (and presumably a cameraman) to stay with them? What about the Reverend at the pregnancy clinic? Wouldn't he question the cameras? Other people, too, behaved too normally, without questioning anything. I have read that Jeanine Jones, the babysitter, thought she was in a documentary, so her part was not as unbelievable as the others. She came off as a very caring and sweet woman.
The movie was at it's best when skewering the Trump Administration and associates. That was where it got funny, and right on the mark. Giuliani was laughable in several ways. We have all heard of the ""shirt tucking"" scene, but his assertions on Trump's handling of COVID were absurd. Rudy has become a walking punchline, both with this movie and his press conference at the Four Seasons Complete Landscaping ( between the crematorium and the porn store). He just can't get any more ridiculous.
I would say that the Moviefilm is worth seeing for several good jokes, but, honestly, overall, it is jot great."
19,25-Oct-20,dovla-79048,1," First movies was good but this one is boring
","It is clear that it is politically motivated which is a shame, therefore score is equivalent to that... I enjoyed Sascha while ago, where he never took any part and he mocked everyone equally, but this is a clearly movie targeting right wing voters and party with hidden agenda and releasing it one week before elections. Enough said... Sascha obviously lost his touch and/or he joined the leftist ""train"" just to keep his career rolling (like many of other hollywood actors)."
20,23-Oct-20,bucky716,10," Brilliant!!
",Brilliant and full of laughs within the first 10 minutes that continue. This has Borat in the title but Tutar Sagdiyev aka the daughter of Borat aka real name Maria Bakalova is a new star.
21,8-Nov-20,joeygassert,1," Peak cringe in 2020
","Usually when you watch a good comedy, you just laugh the whole time."
22,7-Nov-20,gamerz-18042,6," Some fun
",Not as good as first. Still decent albeit nauseating at times.
23,24-Oct-20,calorne,4," Some funny gags but overall rather lame and witless and insulting to Kazakhstan
",I'm from the U.K. I'd like to see a film-maker from Kazakhstan lampooning us. They would do it very well and with more wit. But evidently they have too much class.
24,25-Oct-20,Sleepin_Dragon,9," We needed this.
","Well done Sacha Baron Cohen, it's been many years since we last saw Borat torment all manner of people."
25,28-Dec-20,aramsdale,8," SO CLEVER & UNAPOLOGETIC
","This is just so politically incorrect, I love it. It is clever & unapologetic & what a find with Maria Bakalova, who played his daughter. Brilliant.
Never seen anyone shame their self like Rudy Guiliani.....pervert.
Highly recommend.
8/10 for the audacity of Sasha."
26,23-Oct-20,dougmacdonaldburr,1," Borat Jumps The Shark
","This is bad. I used to like Sacha Baron Cohen, but, not anymore. All he ever does is dress up like some weird character and pretend to be dumb in the hope of tricking people into saying embarrassing things. What I really hate is that a lot of the people he tricks are just being nice and even trying to help him, but, he tries to frame it in such a way that they look like bad people. It is all just so his clique of liberal cosmopolitan elites can look down on Muslims and Christians. I will admit that Cohen is smart and capable of being funny, but, he is not as smart or funny as he thinks he is. I watched this with my family (who loved the first movie) and they did not laugh once during this film. It is all basically the same formula and really forced. I imagine this will get quite good reviews because he attacks Trump and most critics will love that, but, this is not a good movie. There really isn't anything that was not already covered in the first movie. They did not need to make a sequel, it is really bad and a complete waste of time and money. Borat has officially jumped the shark."
27,25-Dec-20,SafReviews,7," I thought it was decent
","I watched the first Borat movie ages ago and I thought it was ok but not the best comedy movie for me and I think it's the same case for this sequel. The plot was intriguing eventhough It was crazy, but that's what made it intriguing. There were a few funny moments, but not as much as the first movie; it could be because people are more sensitive nowadays. I liked how the movie focused on important events of 2020 like the coronavirus and the US election. Overall this is a decent comedy movie which I would definitely recommend."
28,11-Nov-20,brefane,1," Seemingly Endless Like the Title
","Even free with Prime membership this lackluster and boring film is a waste of time that, like its title, feels overlong and extraneous. It's shoddy and feels likes it has been quickly thrown together from scenes deleted from the original which was much more entertaining and managed to be believably spontaneous, enjoyably outrageous and even peculiarly charming. Even the character of Borat has become annoying and unfunny and the often hilarious, liberating bad taste of the original is replaced here with a depressingly sour tone and is more repulsive than amusing. Cohen has seemingly lost his appeal and comedic talent."
29,23-Oct-20,EddyTheMartian007,7," Did Borat just save 2020?!
","(No Spoilers) Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan (2020) is a sequel to the cultural phenomenon that was the first film, Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006). I think it's safe to say most of us never expected this movie to happen, let alone be secretly filmed and release just a couple of months after its announcement. I also think it is safe to assume that most of us didn't think a sequel would be as good as the original. It would just be impossible to recapture the shocking satirical mockumentary that was the first one, but it's almost as shocking a sequel would be made today with all the political correctness, cancel culture, etc. that has become so prevalent in today's media. While this movie is definitely not as good as the original and some of its charm is lost since it has been already done before, and replicated, it still remains hilarious yet important."
30,23-Oct-20,juanquaglia,3," Borat lost his way
","I was a huge fan of Sacha Baron Cohen until this point. I enjoyed Borat, Bruno and Who is America? a lot, and I considered him one of the greatest American comedians. But what he has done here left me deeply disappointed and even angry.
Borat Subsequent Moviefilm has a couple of great moments, but most of the film is scripted, with few real situations. So overall the film is less enjoyable than the previous one. It is understandable, though. Probably Borat's job is a bit more difficult now that he is recognised everywhere, so I imagine it's quite difficult to find unsuspecting victims.
It is also understandable that real scenes are edited in a way to make them look funnier than they really are. The Pence rally we saw in the trailer seemed very funny, but when checking raw filming from people who were actually there we soon realise nothing happened the way it's been shown. Again, I understand it's part of making a movie.
What I can't forgive is dishonest editing. The famous Rudy Giuliani scene that appeared everywhere as a news story and is supposed to be the highlight of the film is probably the most dishonest and misleading piece of cinematic narration I've ever watched. The editing goes crazy there, with several fragments that last 3 seconds. I'd love to see the raw material from that scene, because I have no doubts it has been presented in a very insidious way.
The other source of disappointment is that overall it seemed like an anti-Trump film more than a Borat film. The propaganda seems to take over the comedy. The timing of the release, so close to the election, also contributes to this interpretation."
31,25-Oct-20,csm-78119,3," Tasteless and not very funny
","This is a poor offering. There are a few mildly funny bits but the casual racism and gross bottom of the barrel subject matter had me turning the thing off half way through. Trump and Trumpism are ripe for parody but there are a thousand better ways to do it than this, which feels like it's been written by a 12 year old boy who thinks he is being daring."
32,28-Oct-20,kosmasp,7," To the point
","As far as I remember, this seems more focused than the first Borat movie. Though I have to admit, I have to rewatch the previous entry in the Borat world. Some things almost seem improbable (like what did he tell people, that they would actually not just go along with some of th stuff but also say really despicably things?), others may seem devious to say the least."
33,27-Oct-20,masonsaul,9," Worthy sequel
","Borat Subsequent Moviefilm is a worthy sequel that's as good, if not better, than it's predecessor. It's reliably funny, shocking and extremely relevant. Sacha Baron Cohen is once again perfect with Maria Bakalova giving an equally fearless performance. The majority of the jokes are really funny and shocking making up for the few that aren't as good. It's extremely well paced and Jason Woliner's direction is great. The music by Erran Baron Cohen is fantastic."
34,24-Oct-20,grantss,7," Hilariously funny, in spells
",It has been 14 years since journalist Borat Sagdiyev embarrassed the nation of Kazakhstan with his visit to America and resulting documentary. He has spent those 14 years in a gulag but is now being released. The Premier of Kazakhstan has an important task for him: return to America and bribe the US Vice President in order that Kazakhstan regain favour.
35,23-Oct-20,pedopete-37355,3," Average at best
","1st borat movie was brilliant because no one knew about the character at the time, this time it was horribly scripted and politically one sided. No where near as funny as the first one"
36,24-Oct-20,ryan-beauchesne,8," The Needed Evolution of Borat.. but with an Unfortunate (but Understandable) Lacking of Borat as Himself
","This was the needed evolution of Borat in the sense that it was much more story-focused with many scenes purely for plot over laughs, and a moral to the ending. Especially with a strong supporting actress (Totar was actually the star I believe), it was expectantly a slightly different feel and resultantly also less hilarious overall than the original, but still very funny and very enjoyable. I am glad they did it this way, though, for if they just made a shallow, meandering series of gags like the first film, it would have felt repetitive and lacking anything new. So, I think they did the right thing."
37,23-Oct-20,malcolmjohnston,1," What a waste of time
",Why why why?
38,23-Oct-20,Hazu29,3," Can't be compared with the previous ones
","It's just bad, 98% it's all scripted and staged and the daughter's scenes are not funny.
The old Borat would have epic non staged scenes and he would make fun of anyone, doesn't matter their political side, race or gender. In 2020 we would expect Borat to crash rallies, parades and cupcakes student councils. But nothing... Just staged unfunny stuff and same jokes all over again. Very disappointed. Just watch the old movies. This one is super boring."
39,11-Oct-22,littleriver-65252,5," The First Movie Was Better
","I am a huge fan of the comedy genre and the first Borat movie really was funny from beginning to end at least for me. In the 2020 version however, I was disappointed by how slow the plot moved, and the lack of any real comedy. I think it's fair to say that I did get a few great laughs throughout the movie, but unlike the first Borat movie which was pretty much entertaining and cometic continually, there are many parts in this movie where nothing is really going on, or where the comedy is continuously repeated several times which leaves you no longer finding it as comedic as you did the first time. I think it lack as much creativity as the first movie for sure, but overall, I would consider it somewhat entertaining if you've run out of comedy movies to watch."
40,24-Oct-20,rcsembree,1," So dumb
",One of the worst movie sequels I've ever seen. Totally played up on the gags of the original film and everything obviously scripted and staged. Cohen clearly was wanting a payday without having to create anything original.
41,26-Feb-21,AnnieLola,9," EVIL BORAT HAS MAKE MY HUSBAND CHOKE FROM LAUGHING!
","Borat must buy for me new husband! We are watch moviefilm and make laughing. My husband make laughing so much hard that he is choke and make die! All from because watching Fertility Dance is much absurdity to see Dance perform with girl wears undertrousers! I give nine point for make much laugh, but keep one point for choke husband. Please immediate send new husband. Rich is good."
42,23-Oct-20,dylanmoogatt-28263,10," Anybody in power should fear Sacha Baron Cohen
",Let's start by saying that Cohen has been notorious for pointing out political and social problems in society with most of the films he has been attributed to.
43,24-Oct-20,prolead,1," What a piece of Cra$
","Just for the record, I'm not from the US. I expected the movie to be Anti Trump but this is a waste of time and not funny by a mile. Sasha lost it big time. Boring jokes, not even worth a chuckle"
44,29-Oct-20,juujuuuujj,10," As a Bulgarian, watching this was an absolute blast.
","First of all, this movie is such a pleasure to watch, all audiences with a robust sense of humor will enjoy it, and hordes of easily offended viewers will fume with outrage. But since half the dialogue was in Bulgarian, I thought I might shed some light on just how great and funny Maria Bakalova's performance was in this film. First, let start off with how difficult this was to film. There are many wild and provocative scenes, Rudy Giuliani's ""bed scene"" chief among them, that were an absolute feat to pull off. Everything was wrapped in a funny, surreal story about Premier Nazarbaev using Borat as a spy on American soil, and Borat reconnecting with his feral daughter whom he uses as a honey trap against US politicians."
45,23-Oct-20,Xstal,8," Making America Grate Again...
","... and for all the right reasons. Some genuinely laugh out loud moments leave you under no illusion just how talented Sacha Baron Cohen is as he ridicules some particularly odious and obnoxious characters, cultures, traditions and beliefs. With outstanding support from Maria Bakalova, you might be surprised how immune you've become to fascism in the land of the free but at least you'll do it with tears streaming down the side of your face and, quite possibly, a blub or two as the satire and mockery is gradually absorbed and starts to sink in."
46,24-Oct-20,mhuseman-20255,10," LOLOLOL
",I loved this movie! I watched by myself and literally laughed OUT LOUD at least every 5-10 minutes!. I love Sacha Baron Cohen and Maria Bakalova was excellent in her role. They had me in tears I was laughing so hard. I needed a great comedy to watch and it's hard to find one that keeps my attention; I will be watching again for a nonstop LOLfest! Thank you for making this for us especially at a time where we could all use cracking up in a good way!
47,30-Oct-20,lvanka,10," Excellent. And this is from a non Sasha Cohen Baron fan. REAL REVIEW.
","My husband loved SCB in all his incarnations (Ali G., Borat, Bruno, and that guy from Who is America). He'd quote parts of Bruno (""But first, more dancing with Bruno!"") as he'd dance around me in the kitchen. He'd quote parts of an interview SCB did with Dick Cheney, as I rolled my eyes. Every couple of years or so, he'd put on Bruno or Borat, and laugh, and laugh, while I just shook my head. In short, he reverted from a mature 35 year old man, into a a teen, because of this one comedian. I kind of hated it and really didn't see the appeal of Cohen's comedy which I found crude and sometimes downright offensive (i.e., ""In my country, they would go crazy for these two. That one, not so much.""). Until this Borat 2020 film, that is."
48,23-Oct-20,scottedwards-87359,8," Where does one begin !?
","With any SBC film you kinda know what you're going to get, and this doesn't disappoint. It is simultaneously hilarious, uncomfortable, genius, depraved, and jaw dropping in its brutal exposure of ignorance."
49,7-Nov-20,boydpeters,2," From hero to cringe zero
",What a sell out.
50,1-Nov-20,taseron-1,9," Freedom of speech
","I think this movie is a very solid demonstration of freedom of speech in USA and I envy it a lot.
I live in Turkey and I can't imagine such a political satire movie of TR government being shown in our theaters or TVs without getting banned or somehow punished.
American citizens are free to mock their government, president, his wife and their supporters in movies and mainstream media, and they are not labeled as 'traitors' or get arrested for interrogation."
51,23-Oct-20,fayandray,10," More Of An 8, But Rated 10 to Counter the 1s
","I loved the first one and this one is just as good. It may have been a little more staged, but I laughed as much as the last."
52,25-Oct-20,kr98664,4," Seemed mean-spirited at times
","Don't get me wrong. I laughed myself silly quite a few times. But the tone of this sequel seemed off, and it took a while to realize the difference."
53,23-Oct-20,Go_For_The_Jugular,3," Move along...nothing (new) to see here...
","If you've seen the first Borat film, you've seen this one too. Nothing new. Same crude jokes, same Kazakhstan-bashing, same subtle racism, same sexism...the list goes on."
54,24-Oct-20,whiteigvc,1," Very poor, not funny at all
","Not a patch on the original, I don't think I laughed at all. Very contrived and fake. Low budget, cheap"
55,9-Nov-20,decarloj,1," Not a true Borat sequel
","This movie has nothing to do with the first film, it's just election year propaganda."
56,25-Oct-20,petercarlsson-92297,1," Not funny just liberal propaganda
","This is not a movie, but a try to make money of the first movie, and at the same time shoving leftish propaganda down the audiences throats. If you like that, you like that movie. If you like your comedies be... well... funny, this is a huge waste of time. But, sure, some people will off course be rich from this crap. But remember it's your money and your time you are giving them."
57,25-Oct-20,williamkelly-12810,1," One star for each laugh
",This movie was too scripted compared to the original Borat.
58,28-Oct-20,ericrnolan,10," A FEW QUICK WORDS ON ""BORAT SUBSEQUENT MOVIEFILM"" (2020)
","If you want to debate the ethics of Sacha Baron Cohen's prank-driven comedy, maybe there's a conversation to be had. The people subjected to his ""Candid-Camera""-meets-""Jackass,"" politically charged, ambush-style comedy are typically very unhappy about it. And I realize that Cohen (like any one else) should not be immune to criticism."
59,23-Dec-20,SqueakyLovesGeorgeSpahn,8," Sacha nailed it
","Tbh, I found it in many ways even better than the first, when he caught everyone offside and was easy to perform in a way. This time it was a tougher job and he did brilliantly. In many ways the jokes are smarter, I'd give it 8,5 but is not doable. The girl is also brilliant and the framing of Giuliani, a work of art on how to show the man's true -stinky- colours."
60,3-Nov-20,fciocca,8," An amazing sequel, slightly better than the original movie.
","Borat is back after more than 10 years since his original installment in 2006, and oh boy if it was funny. I think that this sequel was actually slightly better than the original movie, for sure I laughed more and I really appreciated Tutar, the daughter of Borat portrayed by Maria Bakalova. She was amazing and I genuinely think that she had the most funny jokes this time, her character has a progressive and interesting development. There is a special chemistry between the two main characters and I really like how their daughter-father relationship evolves. Both actors speak their native languages, Sacha I presume communicates in Yiddish, while Tutar I am sure speaks Bulgarian. It shouldn't be easy to coordinate during dialogues when you use two completely different languages, so good job."
61,23-Oct-20,internet-52971,1," Vulgar, disappointing and not funny
",I'be been a fan of SBC since he was Ali G on UK TV. Back then his comedy was a breath of fresh air. The first Borat film was hilarious as was Grimsby. But this effort fell flat and the dull story couldn't be revived by the extreme vulgarity in the story. I don't think I laughed more than a couple of times. Final verdict: terrible.
62,26-Oct-20,lwmswm,1," Borat No Make Much Funny Movie
",Borat no make much funny movie. It stink from many no fun liberal poke at people Borat not fit to lick boots. No like much this movie because it no make me laugh. Borat just confused liberal making stinky movie for other confused liberals.
63,28-Oct-20,YourSonsDad,10," Laugh Out Loud Funny S#!^!
","What's even funnier than the movie itself, is seeing people cry about it. I mean, damn, Cohen just exposes the stuff, he doesn't make them say or do what they say and do. If you're mad at anyone, be mad at the buffoons caught on tape. Or on second thought, keep being mad here, cause its hella hilarious."
64,25-Oct-20,cordenw,1," Cruel, nasty and crude..... and not funny
",Sometimes you can get away with parodies of third world countries. Monty Python did it very well in a couple of their films and sketches but they were never cruel in making dupes out of their own leaders or members of their own society.
65,23-Oct-20,efecctor,1," Looked fake!
","All throughout the movie I couldn't help but notice that most of the pranks are fake and unreal. I mean is there a single person in America that doesn't recognize sacha baron cohen, even with tons of beard and hair and all that makeup. Screw republicans and democrats, screw trump and biden, screw politics, borat used to be a genuine comedy full of incredible extreme pranks , but now it looks like a political garbage desperately trying to deliver a propaganda."
66,30-Oct-20,st-shot,2," Tasteless, hateful satire with a chuckle or two.
",In his latest film Sach Cohen reprises his Borat character from a dozen years back in this crude smug comedy that will have one side cheering the other side ignoring. There is no denying its share of outrageously funny moments but minus the new target it is simply a stale dozen year old routine in which the mockery has taken on a more mean spirited tone than before.
67,29-Oct-20,MrDHWong,8," Once again offers a hilarious critique on modern American culture with that signature satirical edge only a character actor like Sacha Baron Cohen could ever bring
","""Borat Subsequent Moviefilm"" is the sequel to the 2006 mockumentary ""Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan"". Starring Sacha Baron Cohen in the lead role, it once again offers a hilarious critique on modern American culture with that signature satirical edge only a character actor like him could ever bring."
68,23-Oct-20,louis-47618,1," Had to turn it off
",I'm afraid I am only reviewing an hour as I turned this mess off.
69,25-Oct-20,inkedbydesigninc,2," Been there, seen that....
","This movie is even better than the first one............NOT!! Now that we all know the premise, after watching the first movie, the jokes all seem old and recycled. The first movie was funny because we loved watching people's honest reaction to what they thought was a real documentary."
70,24-Oct-20,gogga1011,1," Total disappointment
","Loved it and laught first time, but this time... Cohen's jokes are very outdated and worn out, everything is based on old kindergarten-level jokes for morons and for perverts. Always the same deranged jokes about supposedly endangered Jews and gays and mocking republicans but he does not dare to criticize leftists, Antifa terrorists, BLM or their politicians. Very politically colored, biased to the far left. And this with Giuliani is the only thing that raised dust in this miserable piece of trash. But actually it is nothing interesting. It's all about Giuliani really adjusting his pants and microphones (the actress was helping him) and that was nothing indecent or shocking. And that's actually the whole plot of all this rubbish - how to cheat and mock Republicans and Conservatives. Utterly disaster for low IQ children. Cohen is not funny any more and it is time somebody to tell him that."
71,26-Oct-20,ivobg,2," Sup
","When I saw the trailer and the ""forming scandal"" with some politicians - I thought this will going to be a fun to watch movie, but it wasn't. Most of the jokes were too stupid even for Borat's level."
72,27-Oct-20,XERENDlPlTY,10," The 10's are 10's & The 1's are 10's!
",Nothing more needs to be said than: LOOK at the 1 ratings and the vehemence (and bad English) with which they try to dissuade you from watching Borat 2! You KNOW it has to be good.
73,1-Nov-20,keeleylowe,1," Not Funny
","I loved Cohen's earlier work (Ali G, Borat, Bruno), but this fell way short. The move doesn't have the same feel as his earlier works and I can't say that I laughed a single time during the movie."
74,24-Oct-20,thebogofeternalstench,1," Sacha is a parody of himself
",Straight away I noticed his Borat voice was so poorly done. Sacha's English accent kept slipping through and was just crap and off-putting. Lazy and rushed.
75,25-Oct-20,KaptainTuttey,3," So obvious this film has been rushed out for the election
","The original film was superb but this sequel is predictable, poorly written and just plain boring. Let me just put out there now that I'm no fan of Trump and my opinion is by no means biased. However the film tries too hard to smear conservatives and it just ends up looking desperate and unfunny.
Furthermore the sense of deja vu is overwhelming as SBC recycled far too much from the original and it just does not work in 2020. Introducing a significantly new character is often a sign of desperation and the introduction of Borat's daughter Tutar is no exception. She's like Scrappy doo in Scooby doo or the sand snakes in Game of thrones. Tutar is another awful character but I understand why she was necessary as Borat is too well known in 2020 to trick people into an interview. It begs the question was this film necessary? I would say definitely not. For me it has soured the Borat character and taken some shine from the original film. SBC is a genius but I can only imagine that he was forced into making this film for political reasons."
76,17-Nov-20,pkneer,1," Not Funny
",One of the most cringeworthy movies I have ever seen. Sasha's character is over the top and not funny. Please stop making these films.
77,3-Nov-20,rsallholbrow,1," Borat lost his way
","This film appears to have been made for the sole purpose of trying to influence the American election. It only goes after Trump supporters. I enjoyed the first Borat movie, but as everyone know about Borat now, it's obvious most scenes were scripted and not actual pranks. The movie comes off as racist and arrogant, while trying to appear that the movie is against racism and pushing diversity."
78,13-Nov-20,MackMonMay87,7," It's Always Harder When the Joke's on You
","Some reviews mention that the latest Borat isn't as funny or doesn't hit the mark in the same way as the original. My guess would have to be that due to the political climate becoming more divided and angry than ever before, people don't find Borat and his roasting of American stupidity quite as funny anymore. Especially since so much of that particular brand of stupidity has become so mainstream and widely accepted."
79,23-Oct-20,lavaside-60237,3," So much more he could have done
","From the Russian Hoax, to Biden sniffing people, to cancel culture - the left wasn't touched with a 10 ft pole.
It not only was all 'Trump-centric' - it wasn't based upon the real jokes to be made; it was based upon the caricature of the right that the left tell themselves is the truth.
And the worst part - that was the funniest parts.
70% of the movie is about him and his daughter, with the same joke being rehashed 100 different ways.
If you liked the 1st Borat, it is at least watchable for a one-time viewing, so I gave it 3/10. But I'd watch the 1st 100xs over before ever watching this again."
80,19-Dec-20,austincolibaba,9," Hilariously offensive
",I just don't get why everyone hates Jews but that's besides the point. The movie was so funny maybe because my humor is a little twisted. Seems like everyone is crying about how political the movie is. Just enjoy the how far they went with some of these parts! Ill have to watch the other movies now
81,12-Nov-20,stevebarrows,1," Bad comeback and politically motivated
",I love the Borat Character!
82,25-Oct-20,henrybrown-terry,1," Tired and repetitive.
","Tired and repetitive.
The Borat character was mildly amusing in the first film. For about half an hour. There was nothing there that was even remotely funny and this second film reinforces that.
I am so reminded of the meerkats in the TV ads (they are unfunny and irritating also).
This bloke has turned a ten minute sketch into a very unfunny career. A bit like Steve Coogan."
83,7-Nov-20,ForceofSU,2," Disappointing
","I went in expecting this movie to be worse than the first one, becausw let's face it that how usually films are, but it was by far worse than i ever thoight. There were some funny scenes, but i only laughed maybe three times. It all looks forced and honestly, it is the worst Cohen production i ever watched. It is not an age thing either, ""Who is America"" was made just one or two years ago and it was hilarious. This looks like it was written and filmed very fast just for the sake of filming it."
84,23-Oct-20,fad-38798,1," Panders to the lowest common denominator.
","Very much the Emperors New Clothes here, this is not social nor political commentary."
85,23-Oct-20,dolemite72,2," Lazy, biased and (most importantly) unfunny
","Although a fan of Borat (and to some extent, Sacha Baron Cohen) I went into this movie with the full knowledge that it was going to be a one-sided hit-piece on all things 'Trump'
At very least, I expected Baron Cohen to try pull 'something' (anything?) out of the bag, and make me laugh, despite myself......Sadly, not here."
86,25-Oct-20,justnobody88,1," Disgusting
","Unfortunately, I can't rate it less than one star. It's not funny, stupid and disgusting. First Borat movie was bad, but this one hit the bottom."
87,15-Nov-20,erwinsofty,1," Unwatchable
","I tried to watch this movie, but this was unwatchable. He really needs to stop making these movies. The first one was barely watchable and they just keep getting worse. It's not comedy it's just uncomfortable and trashy."
88,11-Nov-20,picturetaker,1," Loved the first one. This one wasn't even close to the original.
",I absolutely loved the original Borat. Must've saw it a hundred times in the 00's and quoted it with friends. It was funny and it was real satire. Where as this new Borat? Seems totally fake.
89,26-Oct-20,usdvp,1," WASTE OF TIME
","Loved Borat! This is weak in laughs, inauthentic character, boring! Wanted stop watching yet still hoped SOMETHING would redeem it. Nothing did."
90,8-Nov-20,leerevell-69549,1," 95 minutes of my life wasted
","The worst film, if that's what you can call it, I've ever seen. Didn't laugh once and was clearly paid for by Amazon to have a poke at Trump supporters and Trump before the election.
Another example of how low the Elite will stop to try and fool the public. How wrong they were"
