Name,Date,Rating,Review
"
                    
                    
                ","Jul 19, 2022",0,"
                        Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan was a very funny movie when I first watched Borat Subsequent Moviefilm I laughed so hard I can't believe in 2020 it was 14 years since Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan from 2006 and now in 2022 it has been 16 years since the first Borat moviefilm and I heard that Sacha Baron Cohen is retiring from the character which I think is a bit safe for him maybe do another movie about Bruno, The Dictator, Ali G I hope to see more movies of Sacha Baron Cohen playing another one of his characters again
                    "
"
                    
                    
                ","Jul 18, 2022",0,"
                        Problematic in certain non-political aspects, but this surprisingly superior sequel is sharper and riotously funnier in its timely topical deliverance of the ultimate satire precisely tackling its current political climate with authentic exposure subtly leading up to a connectively twisted proportion. Sacha Baron Cohen's daring return in a spy-like position of genius infiltration, unveiling further true colors during that time, while playing with the uneducated then in the meanwhile evolved his comedic presence and embrace the parodied familial heart honestly mark his otherworldly peak, alongside Maria Bakalova's solid breakthrough at generational craft. Those depicted and exposed will be humiliated, offended in a pitiful matter with little repetitive defense, while some with pure intentions will be betrayed but eventually reassured on good notes that should spell better approach. Between the amusement and topical treatment amid frivolous tackle, this is probably the best mockumentary, in recent memory and existential acknowledgement, for its entertainment value of unpredictable impacts with enough certification to be worthily claimed as a documentary by half. (B+)
                    "
"
                    
                    
                ","Jul 16, 2022",0,"
                        Decent but not even close to 1st one, The addition to tutar and her overtaking and shining most time was amazing and journey of borat felt complete, The anti feminst things were amazing and the jokes were hilarious but some of it didn't land, the politics and ending was good but felt little too much. Overall it was a decent movie.
                    "
"
                    
                    
                ","Jun 25, 2022",0,"
                        Great sequel, perhaps not as good as the original, but still enjoyable and funny with a great climax.
                    "
"
                    
                    
                ","May 5, 2022",0,"
                        What can you really say about this film? It's peak Sacha Baron Cohen. The character of Borat is outrageous both with his jokes and the audacity of his public stunts. Thanks to that, Borat Subsequent Moviefilm is endlessly entertaining, and it couldn't have come out at a better time.

By far the best thing about this film is the jokes. It is an incredibly funny movie. I was laughing out loud for most of the film and sometimes had a hard time believing what I was hearing. The thing that makes this film that much funnier (or perhaps scarier?), is that these are real people that Borat is interacting with. Certainly, a lot of jokes are very dark, and if you don't like that kind of humour then steer clear of this movie. However, if you don't mind that, Borat Subsequent Moviefilm is hilarious.

The story part of the movie, however, felt a little out of place. It's good that there was an underlying motive for the character to do what he did. However, I did feel like a lot of the more serious and contemplative scenes didn't add much to the film. Indeed, they ended up disrupting what was an endless barrage of jokes and made the movie feel longer than it was.

Borat Subsequent Moviefilm is a great comedy. It is extremely funny but it also manages to underline a lot of the social difficulties that America currently faces. So please watch it now, while it's still relevant. You'll have a great time.
                    "
"
                    
                        
                            
                                cinephile f
                            
                        
                    
                    
                ","Apr 21, 2022",0,"
                        I didn't think it was that great compared to the original but it was okay and definitely funny in parts. I loved how it has the potential to offend people on both right and left.
                    "
"
                    
                        
                            
                                Paul Z
                            
                        
                    
                    
                ","Apr 4, 2022",0,"
                        Terrible. Actually it was boring and not at all funny. Definitely experienced some secondhand embarrassment for the guy. I actually don't think Sacha Baron Cohen has not been funny since Da Ali G Show. Seems like everything he's done since then has been forced humor. Luckily for him, he seems to have made a ton of money… Maybe he should just go into politics or do something that he actually likes.
                    "
"
                    
                        
                            
                                Katie D
                            
                        
                    
                    
                ","Mar 25, 2022",0,"
                        Another entertaining and terrifying look at America through Borat's eyes.
                    "
"
                    
                        
                            
                                Tiago S
                            
                        
                    
                    
                ","Feb 14, 2022",0,"
                        Uma comédia sempre é boa para dar umas boas risadas, Borat que é um filme antigo ressurge em 2020 com ideias impensáveis como prostituir a filha para políticos, e acredite se quiser cenas reais, como nas eleições dos EUA de 2020, Borat com uma maquiagem que lembrou muito o ex presidente Donald Trump (hilário!).

Foi uma coisa ao estilo das pegadinhas que levava a narrativa a um nível de seriedade que muitos acreditavam, fazendo que a piada se tornasse verdade, atuações convincentes, é algo como um compilados de 'pranks' (trotes) só que seguindo um roteiro que ficou excelente.

No final tem a revelação que foi algo bem genial, com aquele todo alvoroço de levar a filha ao Donald Trump, é que na verdade o 'manda chuva' não queria que a filha de Borat fizesse tal feito, mas sim que sem saber ele espalhasse o famoso Corona vírus ao mundo todo, não foi esperado esse final (HaHa) excelente filme.
                    "
"
                    
                    
                ","Jan 22, 2022",0,"
                        A parody of something.  By far the absolute worst film to watch.  Extremely naughty and rude to watch with it's references and portrayals of politics/groups Borat is a disgraceful example of how a movie should never been made.  Since I was forced to watch it was even worse every minute was pure torture and I didn't laugh once.  I never saw the original but I draw the line at the references.
                    "
"
                    
                        
                            Kyle
                        
                    
                    
                ","Jan 20, 2022",0,"
                        This is one of the most horrible attempts at entertainment I’ve ever tried to watch. Completely different tone than the first movie. This thing ( I hate to call it a film because that is an insult to the art of film) is just awful. Wanna watch it? Go ahead and waste your time and get sick to your stomach. Time would be better spent watching grass grow or Kait punching yourself in the head ( that might lead to better results than watching this thing). Proceed with caution if watching this thing.
                    "
"
                    
                        
                            
                                tom m
                            
                        
                    
                    
                ","Dec 20, 2021",0,"
                        As stupid (or maybe a little bit more) as I expected. An equal opportunity lampooner of all political persuasions.
                    "
"
                    
                    
                ","Nov 25, 2021",0,"
                        It has some serious LOL moments. Can't believe Giuliani fell for it! 7/10 on Prime
                    "
"
                    
                    
                ","Nov 23, 2021",0,"
                        Borat Subsequent Moviefilm is the perfect sequel to Borat. Fourteen years since the last film and Sacha Baron Cohen manages to jump right back into the character of Borat, and even goes further than he did in the first film. Fans of the first Borat movie will have plenty to enjoy here, as well as people who enjoyed his more recent show Who is America. As a fan of both Sacha Baron Cohen productions I wholly enjoyed this new movie and found myself laughing throughout it. Even newcomer Maria Bakalova makes an amazing lead character, bringing just as many laughs in every scene she is a part of. This movie does have more of a story focus that connects all the interactions this duo becomes involved in, but I feel like it makes the movie as a whole flow better. People worried that Borat would not be able to bring a sequel that is worthy of the same praise the original got need not worry, as this is a movie I will watch now just as much as I watched Borat back then.
                    "
"
                    
                    
                ","Nov 19, 2021",0,"
                        Raunchy comedy that makes fun of culture and societal norms.  If that is for you then so is this movie.  It is Borat, similar to the original.  Or if you like comedians like Andy Kaufman or Tom Green then this is a good bet.  There are a bunch of blatantly anti conservative themes in the movie so if that will turn you off, you probably want to skip it.
                    "
"
                    
                    
                ","Nov 15, 2021",0,"
                        Borat 2 is not as funny as his first outing, but still a lot of fun to watch.
                    "
"
                    
                    
                ","Nov 14, 2021",0,"
                        Wonderful insight into a side of America we don't like to admit exists, and yet is becoming more and more relevant in todays divided society. Plus, seeing Rudy G. hoping to get a handy was pretty funny.
                    "
"
                    
                        
                            
                                Ash r
                            
                        
                    
                    
                ","Nov 8, 2021",0,"
                        The first movie was awesome this one just involves a bunch of politics and a story that is not funny
                    "
"
                    
                    
                ","Nov 6, 2021",0,"
                        Put in a tough spot with the first one being so good but just no good
                    "
"
                    
                    
                ","Sep 22, 2021",0,"
                        Awful bastardization of the original. Just re-watch the Borat.
                    "
"
                    
                    
                ","Sep 13, 2021",0,"
                        Freaking hilarious! All the bad reviews are from the snowflakes who can't tak a joke!
                    "
"
                    
                    
                ","Sep 10, 2021",0,"
                        Watch who the film is critiquing and then read the butthurt reviews by people who love using the word ""snowflake"", and you'll see that the movie did basically exactly what it intended to.

And it's really just as funny as Borat ever was with a standout performance from the actor playing his daughter.
                    "
"
                    
                        
                            
                                Rodycaz X
                            
                        
                    
                    
                ","Aug 31, 2021",0,"
                        One of the worst sequels I've ever seen. Didn't laugh once.
                    "
"
                    
                    
                ","Aug 26, 2021",0,"
                        Some laugh out loud moments and same cringe from the first one. Where did his wife and kids from the first one go?!??
                    "
"
                    
                    
                ","Aug 23, 2021",0,"
                        C'mon it's Borat...you gotta like it. (do think the first one is better tho)
                    "
"
                    
                    
                ","Aug 19, 2021",0,"
                        Good movie but first was way better and more funny 
                    "
"
                    
                    
                ","Aug 16, 2021",0,"
                        Just as creative and funny as the first
                    "
"
                    
                    
                ","Aug 15, 2021",0,"
                        This movie is hilarious and very well thought out. Even though I am not the biggest fan of cringe humor and I found myself not being able to look at some of the scenes, it didn't take away from the movie. You have to keep an open mind and understand that it is satire of course. I've noticed that all the people thinking this movie is horrible and disgusting are completely missing the point of the movie but i guess not everyone is capable of understanding satire. He also takes a hard hit at republicans so I'm sure anyone who is a republican and watches this wouldn't like this. Tbh he takes an innocent approach the people in the film are making themselves look bad, especially Rudy hahah I cannot believe they caught him in 4K. There is too much genius in this movie and scenes that you just can't miss to not rate it 5 stars.
                    "
"
                    
                    
                ","Aug 13, 2021",0,"
                        I didn't even see the first Borat and I absolutely loved this movie! So funny, so brave; so smart under the facade of stupidity.
                    "
"
                    
                    
                ","Aug 10, 2021",0,"
                        Maria Bakalova is great but the film loses its way. After mocking Republicans and a wonderful twist, it has a very cliched ending.
                    "
"
                    
                    
                ","Aug 10, 2021",0,"
                        Ok comedy, not as good as the first one. If you like the first one, I'd watch it. 
                    "
"
                    
                    
                ","Aug 2, 2021",0,"
                        Obviously the bunch of haters love the original Borat, but the number 2 is even more clever and funny. 7/10
                    "
"
                    
                    
                ","Jul 28, 2021",0,"
                        The familiar use of awkward moments to unsuspecting guests is still what Borat does best. That said, it has been toned down significantly in this film. It seems however that Sasha has lost his courage and only takes on safe issues now.
                    "
"
                    
                    
                ","Jul 15, 2021",0,"
                        Though it may not be as shocking as the first, it makes up for it with emotional depth, which isn't something I would have thought I wanted, but quite enjoyed. And it's still very funny.
                    "
"
                    
                        
                            
                                s p
                            
                        
                    
                    
                ","Jul 2, 2021",0,"
                        If the first Borat movie was fun and transgressive, this second one is just a political hit piece. Instead of presenting a critique of some parts of society which were subtle in the first one, this is more cringe-worthy all out attack on what he deems his enemies, but it felt very forced and not very funny. The Holocaust arc lost it's potential very fast. The final plot twist on COVID-19 was refreshing even if it was mixed with low quality redemption tropes. Save your time for something else unless you really hate conservatives.
                    "
"
                    
                    
                ","Jun 30, 2021",0,"
                        Banger. A hilarious satire, with even more ridiculousness than the first. Toeing the line of  ""is this even okay to say?"" from start to finish. If you miss the days before cancel culture and nonstop savage jokes, you'll find solace in every bodies favorite reporter. VERY NICE!
                    "
"
                    
                    
                ","Jun 29, 2021",0,"
                        Borat has become the consciousness of America. SBC is fearless and his probing of our present society is both poignant and funny. How he gets these figures to do the spud thing they do is mastery. Pair this film with Idiocracy and Reboot Camp and you have a full picture of the crazy level our society has reached.
                    "
"
                    
                    
                ","Jun 21, 2021",0,"
                        Some movie franchises should remain as one film in a series. Instead greedy corporate and producers just had to make rehashed not so good version of the first. I found this boring and not worth watching.
                    "
"
                    
                    
                ","Jun 16, 2021",0,"
                        Did not get what all the hype was about. Some funny stuff here but just not my cup of tea.
                    "
"
                    
                    
                ","Jun 1, 2021",0,"
                        A very good comedy that will keep you entertained and definitely not bored.
                    "
"
                    
                        
                            
                                Hector V
                            
                        
                    
                    
                ","May 27, 2021",0,"
                        For better or worse, 2006's Borat continues to hold up today like nobody's business. The discomforting spotlight it shined on the cultural misgivings of America is unfortunately as relevant now as it was then, and as a result, its side-splitting comedy still hits like a whip fifteen years after its release. Though most comedy sequels released so distantly down the line from their progenitors tend to run on fumes, if anything, the apocalyptic political landscape of 2020 supercharged Borat Subsequent Moviefilm with an embarrassment of riches for Sacha Baron Cohen to marathon through another satirical gauntlet across the United States. As a result, this sequel's ruder and cruder, but not nearly as effective in its social commentary as the original.

You've got to commend Baron Cohen and his onscreen daughter, Maria Bakalova, for their balls of steel. Trekking through a gun rally, an extended stay with QAnon conspiracy theorists, a rapey interview with Rudy Giuliani, and more shocking set pieces, their ability to stay in character with their lives frequently at literal risk is a true miracle of moviemaking. They're great together as well, and the surprisingly touching father-daughter narrative gives the film a sincere sense of heart within the nightmarish tomfoolery surrounding it.

The thing is, with our everyday reality having overtaken the most out there bounds of fictional satire, these greater Trump era stakes are ironically not as rattling as the events of the first film. The social commentary delivered is almost too obvious, and it also doesn't help that Subsequent Moviefilm goes hard on gross-out humor during its lampooning vignettes, its pungent comedic brawn turning out less affectingly than the original's passive brains. Baron Cohen and Bakalova putting in more work for the bit just isn't as cutting as letting the abhorrent people they interview make fools of themselves on their own. Still, for its moments of borderline unbelievable scandal, the film's got enough to warrant itself a watch.
                    "
"
                    
                    
                ","May 9, 2021",0,"
                        MINOR SPOILER ALERT

Borat Subsequent Moviefilm really exceeded my expectations. I came into this thinking that it would be stale, that everyone would recognize who Borat was, and that the addition of a daughter would be unnecessary and annoying, but boy was I wrong! Sacha Baron Cohen is just as funny as he was in the first film, and he effortlessly exposes the ignorance of Americans throughout the country. It has so many hilarious and iconic moments, and some shockingly funny cartoons involving Melania Trump. Maria Bakalova is stunning as Borat's daughter Tutar Sagdiyev, and while I thought she was going to ruin this movie, she is, in fact, what ties it together. She adds so much to the story and I really loved to see her character development and bonding with Borat. I don't really have much else to say about this movie, except that Baron Cohen's genius really shines through in a way that I thought it possibly couldn't. I gave it 4.5/5 stars because I just didn't think it was quite deserving of the full sweep, but it comes close.
                    "
"
                    
                    
                ","May 1, 2021",0,"
                        So I didn't like the first one, and this was was worse, because so much of the satire was ill treatment of women, which just isn't funny. The Unbearable scene was the ""fertility dance"". But if I suspend judgment and see it as the vignettes around ""comedy of errors"" that it aspires to be, the best written scene was when she swallows a plastic baby, and what ensues next. Glad he only uses ""TWO"" Polish phrases, I understand everything else is Hebrew and jibberish.
                    "
"
                    
                        
                            
                                chris t
                            
                        
                    
                    
                ","Apr 30, 2021",0,"
                        The original was pretty funny. After that...nope.
                    "
"
                    
                    
                ","Apr 26, 2021",0,"
                        It was stupid and disgusting.  I had to turn it off.  How it was nominated for anything is beyond me.
                    "
"
                    
                        
                            
                                Geancarlo C
                            
                        
                    
                    
                ","Apr 25, 2021",0,"
                        Se nota el forzado intento de criticar a los que están en contra de lo ""socialmente correcto"", Borat cuenta con muchos chistes graciosos pero muchos chabacanos que la echan a perder, tropieza y se levanta constantemente durante toda la película y sus actuaciones son aceptables.
                    "
"
                    
                    
                ","Apr 25, 2021",0,"
                        It's fun and entertaining and it gets some good laughs, but overall, Borat Subsequent Moviefilm, feels fairly basic and doesn't bring anything new to the table. Maria Bakalova gives a strong comedic performance and does a great job keeping up with Sacha Baron Cohen in all of their scenes together, but unfortunately this film just doesn't do enough to differentiate itself and ends up falling short of its predecessor.
                    "
"
                    
                    
                ","Apr 24, 2021",0,"
                        Parts of this film were funny, but I mean...it's Borat. Funny and asinine at the same time.
                    "
"
                    
                    
                ","Apr 20, 2021",0,"
                        Borat continues to elicit awkward outrage and stoic confusion from the victims of his antics. This sequel will be entertaining to fans of the original film.
                    "
"
                    
                    
                ","Apr 18, 2021",0,"
                        Borat Subsequent Moviefilm is unsurprisingly hilarious!  It hits on some heavy topics such as shady leadership, women's rights, and COVID-19, targeting big names such as McDonald Trump and Michael Pence.  However, it doesn't quite have the spark if the first film due to Cohen being unable to be in public much with the Borat persona.  The Rudy Giuliani scene is still legendary though!
                    "
"
                    
                    
                ","Apr 16, 2021",0,"
                        It has its moments, and I appreciated the social commentary, but it was not as funny as the first one.
                    "
"
                    
                    
                ","Apr 15, 2021",0,"
                        The guy thought of next to nothing new in his simpleton style- make situations with unsuspecting strangers sexual and/or creepy and extremely awkward(as well as keep on insulting and mocking Kazakhstan culture and its people with exaggerations and outright ignorant misinformation ). Which gets old fast and incredibly dumb. Lots of pretty ballsy non-scripted pranks he goes into with the actual Rep. party and supporters that takes guts. So props for that.  But sadly, next to no real life pranks or pokes on Dems or the party are seen in the film. Which is a shame for exposing clowns for comedy and material.  So the Sacha Baron Cohen's  bias isn't hidden if your wondering which direction he leans and protects.    Production is designed with ""shock"" value rather than brain's.
                    "
"
                    
                    
                ","Apr 14, 2021",0,"
                        I don't know how people think this jerk-off is funny. He's an annoying one-string banjo just like Jim Carrey and Pee Wee Herman.
                    "
"
                    
                    
                ","Apr 13, 2021",0,"
                        This film just dropped on me. ""Borat"" is a very well known film but I never heard about this follow up before it suddenly was out. It's more of the same. Borat takes a new trip to The US and A and he has brought his daughter that he tries to make pretty. I'm very fascinated by the scenes in shops and such where the people got some serious reactions to all this mayhem. I guess it's partly constructed but people does not know anything about what's coming as Borat know use some new outfits and disguises so he won't be recognized.

Wild and nasty, fun and stupid, impressive and simple film that works almost as good as the first one. Politics is a big matter, covid19 is a big matter and Sasha is showing how skilled he is at doing this. I found it weird that the people on screen is up with taking part here, but I guess some serious papers where signed just the right way for making it possible to distribute.

6 out of 10 woman cages.
                    "
"
                    
                        
                            
                                steven y
                            
                        
                    
                    
                ","Apr 13, 2021",0,"
                        Out of time and out of laughs, in most cases. My love for Sacha is unwavering, but Borat never feels as real or as dangerous as he used to - perhaps because his global fame/notoriety means so much of the footage has to rely on his daughter. Bakalova is the star here, but it's never clear whether it's the on-screen victims or the audience being pranked.
                    "
"
                    
                    
                ","Apr 12, 2021",0,"
                        Used to watch this guy when I was a kid. Wanted to love it, but it was unwatchable.
                    "
"
                    
                    
                ","Apr 11, 2021",0,"
                        This movie might hurt the sentiments of a lot of people, but a lot of it isn't far from truth, even in a country like India. I personally believe that this movie had a good impact on the Republicans' election campaigns (the Rudy interview).
                    "
"
                    
                    
                ","Apr 10, 2021",0,"
                        Almost as good as the first one
                    "
"
                    
                        
                            
                                jorge c
                            
                        
                    
                    
                ","Apr 9, 2021",0,"
                        This is the result to mix a black comedy about politics, american's life, with a powerful drama.
                    "
"
                    
                    
                ","Apr 7, 2021",0,"
                        It's like the original Borat but you take out the humor and put in some message about how women can do whatever men can do, like we didn't already know that. The Rudy Giuliani prank gives it the extra half a star.
                    "
"
                    
                    
                ","Apr 6, 2021",0,"
                        Oh baby- to the people who voted less than 5 stars... you are for sure Republican and I'm sure would die to s Giuliani's d just to get a whiff of his wet wet hair, or a seat at his brunch table. 

Beautifully executed and brilliantly acted by Sasha Baron Cohen and Maria Bakalova. I wish I could say the same for ole Rudy, you disgusting sweaty potato. A must see and a well-deserved win for Cohen.
                    "
"
                    
                    
                ","Apr 5, 2021",0,"
                        Cohen remains as topical ever, continuing to use Borat as a weapon to poke holes in the more ignorant aspects of American culture.
                    "
"
                    
                        
                            
                                Eddie M
                            
                        
                    
                    
                ","Apr 4, 2021",0,"
                        I honestly said to myself after the movie was over ""that was the funniest movie I've ever seen"" - and I like all types of comedy, from witty sarcastic comedy to slapstick.  There were some gross parts but for them to be able to pull of what they did and make a storyline with it... just epic, IMO.  And the timing couldn't have been better.
                    "
"
                    
                    
                ","Apr 1, 2021",0,"
                        An incredibly clever and relevant comedy, Borat's brand of outrageous and sometimes over-the-top humor is in full effect in Borat Subsequent Moviefilm. Sacha Baron Cohen is great as the goofy and naive Borat and he is well matched with a great performance from Maria Bakalova. Cohen and Bakalova's impressive comedic chemistry and timing drives this insane story forward and makes for a truly funny film.
                    "
"
                    
                    
                ","Mar 29, 2021",0,"
                        Still silly mostly but this one had a point of view which only made it better.
                    "
"
                    
                    
                ","Mar 24, 2021",0,"
                        I mean it had it's moments but it's nothing compared to the first one. I mean there was no way he could predict the success it had. But it would definitely have been smarter to film way more material at once and make two movies out of it. His daughter is great though. I think it would have been smarter to have her do everything and have Borat as nothing more than a narrator. Also part of the charm of the first one was the 90s/00s resolution flair. This one has no character. But I don't want to bash it too hard. It's definitely better than The Dictator or Bruno. Ali G wasn't for me so I'm not gonna judge that one. To sum it up, it has is laughs.  Enjoy it for what it's worth.
                    "
"
                    
                    
                ","Mar 23, 2021",0,"
                        While the first Borat is one of the best movies of all time and funniest movies of all time, Borat Subsequent Moviefilm is one of the worst movies of all time. While the Borat sequel had some moments, the film still has a lot of left-leaning (liberal) favoritism which would make this film an anti-conservative propaganda film. Also, this feels like a troll hunt toward conservatives. And another thing, the character of Borat and Sacha Baron Cohen are way too popular to keep doing these kinds of movies and Cohen himself got busted by random people on numerous occasions. So this movie is kind of pointless. So if you got trolled by Sacha Baron Cohen, you're not a smart person (looking at you Rudy Giuliani). I gave this movie so much hype hoping it would be as good as the first one but instead, I was left disappointed.
                    "
"
                    
                        
                            
                                taylor s
                            
                        
                    
                    
                ","Mar 22, 2021",0,"
                        Sometimes you have to push things too far to learn something new.
                    "
"
                    
                    
                ","Mar 22, 2021",0,"
                        Horribly cliched and disappointing, the first Borat film was way better. I don't understand why Maria Bakalova's performance and the screenplay are so acclaimed? I'm all for honoring more comedic films and performances, but this film was not funny  one bit.
                    "
"
                    
                    
                ","Mar 19, 2021",0,"
                        Even stupider than the first one.  Waste of time.  Did not finish.
                    "
